cnty_fips,County,State,Value,theme_range
36059,Nassau,NY,193.4,190.4 - 220.8 (640)
36061,New York,NY,144.1,56.2 - 146.9 (641)
36063,Niagara,NY,228.9,220.9 - 568.7 (640)
36065,Oneida,NY,196.5,190.4 - 220.8 (640)
36067,Onondaga,NY,157.6,147 - 169.4 (640)
36069,Ontario,NY,156.7,147 - 169.4 (640)
36071,Orange,NY,181.4,169.5 - 190.3 (639)
36073,Orleans,NY,218.5,190.4 - 220.8 (640)
36075,Oswego,NY,169.3,147 - 169.4 (640)
36077,Otsego,NY,181.9,169.5 - 190.3 (639)
36079,Putnam,NY,178.4,169.5 - 190.3 (639)
36081,Queens,NY,181.1,169.5 - 190.3 (639)
36083,Rensselaer,NY,196.2,190.4 - 220.8 (640)
36085,Richmond,NY,244.8,220.9 - 568.7 (640)
36087,Rockland,NY,156.1,147 - 169.4 (640)
36089,St. Lawrence,NY,195.6,190.4 - 220.8 (640)
36091,Saratoga,NY,156.4,147 - 169.4 (640)
36093,Schenectady,NY,195.9,190.4 - 220.8 (640)
36095,Schoharie,NY,186.7,169.5 - 190.3 (639)
36097,Schuyler,NY,172.7,169.5 - 190.3 (639)
36099,Seneca,NY,151.7,147 - 169.4 (640)
36101,Steuben,NY,187.4,169.5 - 190.3 (639)
36103,Suffolk,NY,183.2,169.5 - 190.3 (639)
36105,Sullivan,NY,197.4,190.4 - 220.8 (640)
36107,Tioga,NY,172.7,169.5 - 190.3 (639)
36109,Tompkins,NY,146.1,56.2 - 146.9 (641)
36111,Ulster,NY,183.8,169.5 - 190.3 (639)
36113,Warren,NY,158.6,147 - 169.4 (640)
36115,Washington,NY,161.5,147 - 169.4 (640)
36117,Wayne,NY,155.8,147 - 169.4 (640)
36119,Westchester,NY,149.5,147 - 169.4 (640)
36121,Wyoming,NY,183.7,169.5 - 190.3 (639)
36123,Yates,NY,158.8,147 - 169.4 (640)
37001,Alamance,NC,163.4,147 - 169.4 (640)
37003,Alexander,NC,153.8,147 - 169.4 (640)
37005,Alleghany,NC,163.4,147 - 169.4 (640)
37007,Anson,NC,224.5,220.9 - 568.7 (640)
37009,Ashe,NC,157.2,147 - 169.4 (640)
37011,Avery,NC,172.2,169.5 - 190.3 (639)
37013,Beaufort,NC,177.7,169.5 - 190.3 (639)
37015,Bertie,NC,183.6,169.5 - 190.3 (639)
37017,Bladen,NC,250.1,220.9 - 568.7 (640)
37019,Brunswick,NC,161.2,147 - 169.4 (640)
37021,Buncombe,NC,143,56.2 - 146.9 (641)
37023,Burke,NC,188,169.5 - 190.3 (639)
37025,Cabarrus,NC,156,147 - 169.4 (640)
37027,Caldwell,NC,184.7,169.5 - 190.3 (639)
37029,Camden,NC,193.1,190.4 - 220.8 (640)
37031,Carteret,NC,164.5,147 - 169.4 (640)
37033,Caswell,NC,158,147 - 169.4 (640)
37035,Catawba,NC,181.1,169.5 - 190.3 (639)
37037,Chatham,NC,102.8,56.2 - 146.9 (641)
37039,Cherokee,NC,206.3,190.4 - 220.8 (640)
37041,Chowan,NC,184.8,169.5 - 190.3 (639)
37043,Clay,NC,161.1,147 - 169.4 (640)
37045,Cleveland,NC,212.8,190.4 - 220.8 (640)
37047,Columbus,NC,318,220.9 - 568.7 (640)
37049,Craven,NC,167.5,147 - 169.4 (640)
37051,Cumberland,NC,190.3,169.5 - 190.3 (639)
37053,Currituck,NC,186.4,169.5 - 190.3 (639)
37055,Dare,NC,157.8,147 - 169.4 (640)
37057,Davidson,NC,179.5,169.5 - 190.3 (639)
37059,Davie,NC,145,56.2 - 146.9 (641)
37061,Duplin,NC,170.5,169.5 - 190.3 (639)
37063,Durham,NC,130.3,56.2 - 146.9 (641)
37065,Edgecombe,NC,184,169.5 - 190.3 (639)
37067,Forsyth,NC,145,56.2 - 146.9 (641)
37069,Franklin,NC,164,147 - 169.4 (640)
37071,Gaston,NC,187.5,169.5 - 190.3 (639)
37073,Gates,NC,171.3,169.5 - 190.3 (639)
37075,Graham,NC,183.3,169.5 - 190.3 (639)
37077,Granville,NC,146.1,56.2 - 146.9 (641)
37079,Greene,NC,176,169.5 - 190.3 (639)
37081,Guilford,NC,139.4,56.2 - 146.9 (641)
37083,Halifax,NC,182.1,169.5 - 190.3 (639)
37085,Harnett,NC,203.8,190.4 - 220.8 (640)
37087,Haywood,NC,197.3,190.4 - 220.8 (640)
37089,Henderson,NC,142,56.2 - 146.9 (641)
37091,Hertford,NC,162.9,147 - 169.4 (640)
37093,Hoke,NC,181.4,169.5 - 190.3 (639)
37095,Hyde,NC,174.1,169.5 - 190.3 (639)
37097,Iredell,NC,158.4,147 - 169.4 (640)
37099,Jackson,NC,158,147 - 169.4 (640)
37101,Johnston,NC,190.9,190.4 - 220.8 (640)
37103,Jones,NC,175.2,169.5 - 190.3 (639)
37105,Lee,NC,176.8,169.5 - 190.3 (639)
37107,Lenoir,NC,186,169.5 - 190.3 (639)
37109,Lincoln,NC,190.5,190.4 - 220.8 (640)
37111,McDowell,NC,171.8,169.5 - 190.3 (639)
37113,Macon,NC,166.4,147 - 169.4 (640)
37115,Madison,NC,183.8,169.5 - 190.3 (639)
37117,Martin,NC,187.1,169.5 - 190.3 (639)
37119,Mecklenburg,NC,131.3,56.2 - 146.9 (641)
37121,Mitchell,NC,187.9,169.5 - 190.3 (639)
37123,Montgomery,NC,172.1,169.5 - 190.3 (639)
37125,Moore,NC,135.9,56.2 - 146.9 (641)
37127,Nash,NC,178.5,169.5 - 190.3 (639)
37129,New Hanover,NC,155.3,147 - 169.4 (640)
37131,Northampton,NC,160.9,147 - 169.4 (640)
37133,Onslow,NC,162.9,147 - 169.4 (640)
37135,Orange,NC,117.1,56.2 - 146.9 (641)
37137,Pamlico,NC,172.3,169.5 - 190.3 (639)
37139,Pasquotank,NC,261,220.9 - 568.7 (640)
37141,Pender,NC,147.6,147 - 169.4 (640)
37143,Perquimans,NC,211.4,190.4 - 220.8 (640)
37145,Person,NC,157.5,147 - 169.4 (640)
37147,Pitt,NC,167.8,147 - 169.4 (640)
37149,Polk,NC,145.4,56.2 - 146.9 (641)
37151,Randolph,NC,187,169.5 - 190.3 (639)
37153,Richmond,NC,233.5,220.9 - 568.7 (640)
37155,Robeson,NC,216.9,190.4 - 220.8 (640)
37157,Rockingham,NC,189.2,169.5 - 190.3 (639)
37159,Rowan,NC,181.5,169.5 - 190.3 (639)
37161,Rutherford,NC,203.5,190.4 - 220.8 (640)
37163,Sampson,NC,179,169.5 - 190.3 (639)
37165,Scotland,NC,195.6,190.4 - 220.8 (640)
37167,Stanly,NC,224.9,220.9 - 568.7 (640)
37169,Stokes,NC,155.2,147 - 169.4 (640)
37171,Surry,NC,164,147 - 169.4 (640)
37173,Swain,NC,183.4,169.5 - 190.3 (639)
37175,Transylvania,NC,133.4,56.2 - 146.9 (641)
37177,Tyrrell,NC,177.6,169.5 - 190.3 (639)
37179,Union,NC,172.1,169.5 - 190.3 (639)
37181,Vance,NC,184.5,169.5 - 190.3 (639)
37183,Wake,NC,121.7,56.2 - 146.9 (641)
37185,Warren,NC,183,169.5 - 190.3 (639)
37187,Washington,NC,188.3,169.5 - 190.3 (639)
37189,Watauga,NC,139.8,56.2 - 146.9 (641)
37191,Wayne,NC,173.1,169.5 - 190.3 (639)
37193,Wilkes,NC,161.6,147 - 169.4 (640)
37195,Wilson,NC,177.6,169.5 - 190.3 (639)
37197,Yadkin,NC,166.1,147 - 169.4 (640)
37199,Yancey,NC,154.9,147 - 169.4 (640)
38001,Adams,ND,127.1,56.2 - 146.9 (641)
38003,Barnes,ND,133.1,56.2 - 146.9 (641)
38005,Benson,ND,234.5,220.9 - 568.7 (640)
38007,Billings,ND,150.4,147 - 169.4 (640)
38009,Bottineau,ND,155,147 - 169.4 (640)
38011,Bowman,ND,182.1,169.5 - 190.3 (639)
38013,Burke,ND,142.1,56.2 - 146.9 (641)
38015,Burleigh,ND,108.2,56.2 - 146.9 (641)
38017,Cass,ND,129.8,56.2 - 146.9 (641)
38019,Cavalier,ND,161.8,147 - 169.4 (640)
38021,Dickey,ND,155.4,147 - 169.4 (640)
38023,Divide,ND,151.2,147 - 169.4 (640)
38025,Dunn,ND,163.8,147 - 169.4 (640)
38027,Eddy,ND,213.8,190.4 - 220.8 (640)
38029,Emmons,ND,164.4,147 - 169.4 (640)
38031,Foster,ND,168.5,147 - 169.4 (640)
38033,Golden Valley,ND,153,147 - 169.4 (640)
38035,Grand Forks,ND,151.3,147 - 169.4 (640)
38037,Grant,ND,191.6,190.4 - 220.8 (640)
38039,Griggs,ND,159.5,147 - 169.4 (640)
38041,Hettinger,ND,163.1,147 - 169.4 (640)
38043,Kidder,ND,113.8,56.2 - 146.9 (641)
38045,LaMoure,ND,151.3,147 - 169.4 (640)
38047,Logan,ND,148.9,147 - 169.4 (640)
38049,McHenry,ND,143.9,56.2 - 146.9 (641)
38051,McIntosh,ND,167,147 - 169.4 (640)
38053,McKenzie,ND,183.5,169.5 - 190.3 (639)
38055,McLean,ND,141.5,56.2 - 146.9 (641)
38057,Mercer,ND,146.9,56.2 - 146.9 (641)
38059,Morton,ND,105.6,56.2 - 146.9 (641)
38061,Mountrail,ND,150.5,147 - 169.4 (640)
38063,Nelson,ND,173.7,169.5 - 190.3 (639)
38065,Oliver,ND,115.9,56.2 - 146.9 (641)
38067,Pembina,ND,160.9,147 - 169.4 (640)
38069,Pierce,ND,210.4,190.4 - 220.8 (640)
38071,Ramsey,ND,218.5,190.4 - 220.8 (640)
38073,Ransom,ND,132.9,56.2 - 146.9 (641)
38075,Renville,ND,136.7,56.2 - 146.9 (641)
38077,Richland,ND,137.6,56.2 - 146.9 (641)
38079,Rolette,ND,246.9,220.9 - 568.7 (640)
38081,Sargent,ND,145.2,56.2 - 146.9 (641)
38083,Sheridan,ND,114.6,56.2 - 146.9 (641)
38085,Sioux,ND,421,220.9 - 568.7 (640)
38087,Slope,ND,153.2,147 - 169.4 (640)
38089,Stark,ND,159.7,147 - 169.4 (640)
38091,Steele,ND,135.7,56.2 - 146.9 (641)
38093,Stutsman,ND,151.8,147 - 169.4 (640)
38095,Towner,ND,195.3,190.4 - 220.8 (640)
38097,Traill,ND,139.5,56.2 - 146.9 (641)
38099,Walsh,ND,162.5,147 - 169.4 (640)
38101,Ward,ND,143.7,56.2 - 146.9 (641)
38103,Wells,ND,166.7,147 - 169.4 (640)
38105,Williams,ND,148.5,147 - 169.4 (640)
39001,Adams,OH,208.3,190.4 - 220.8 (640)
39003,Allen,OH,185.7,169.5 - 190.3 (639)
39005,Ashland,OH,177.4,169.5 - 190.3 (639)
39007,Ashtabula,OH,225.1,220.9 - 568.7 (640)
39009,Athens,OH,190.4,190.4 - 220.8 (640)
39011,Auglaize,OH,192.4,190.4 - 220.8 (640)
39013,Belmont,OH,216.5,190.4 - 220.8 (640)
39015,Brown,OH,208.9,190.4 - 220.8 (640)
39017,Butler,OH,163.8,147 - 169.4 (640)
39019,Carroll,OH,175.4,169.5 - 190.3 (639)
39021,Champaign,OH,186.9,169.5 - 190.3 (639)
39023,Clark,OH,201.8,190.4 - 220.8 (640)
39025,Clermont,OH,159.7,147 - 169.4 (640)
39027,Clinton,OH,204.4,190.4 - 220.8 (640)
39029,Columbiana,OH,214.6,190.4 - 220.8 (640)
39031,Coshocton,OH,193.5,190.4 - 220.8 (640)
39033,Crawford,OH,195.8,190.4 - 220.8 (640)
39035,Cuyahoga,OH,201.8,190.4 - 220.8 (640)
39037,Darke,OH,194.4,190.4 - 220.8 (640)
39039,Defiance,OH,175.9,169.5 - 190.3 (639)
39041,Delaware,OH,139.3,56.2 - 146.9 (641)
39043,Erie,OH,170.4,169.5 - 190.3 (639)
39045,Fairfield,OH,163.8,147 - 169.4 (640)
39047,Fayette,OH,274.4,220.9 - 568.7 (640)
39049,Franklin,OH,176.9,169.5 - 190.3 (639)
39051,Fulton,OH,208.1,190.4 - 220.8 (640)
39053,Gallia,OH,208,190.4 - 220.8 (640)
39055,Geauga,OH,158.7,147 - 169.4 (640)
39057,Greene,OH,171,169.5 - 190.3 (639)
39059,Guernsey,OH,201.6,190.4 - 220.8 (640)
39061,Hamilton,OH,173.7,169.5 - 190.3 (639)
39063,Hancock,OH,154.4,147 - 169.4 (640)
39065,Hardin,OH,250.7,220.9 - 568.7 (640)
39067,Harrison,OH,237.1,220.9 - 568.7 (640)
39069,Henry,OH,193.5,190.4 - 220.8 (640)
39071,Highland,OH,221.6,220.9 - 568.7 (640)
39073,Hocking,OH,195.2,190.4 - 220.8 (640)
39075,Holmes,OH,195.6,190.4 - 220.8 (640)
39077,Huron,OH,182.5,169.5 - 190.3 (639)
39079,Jackson,OH,272.8,220.9 - 568.7 (640)
39081,Jefferson,OH,267.6,220.9 - 568.7 (640)
39083,Knox,OH,179.3,169.5 - 190.3 (639)
39085,Lake,OH,174.4,169.5 - 190.3 (639)
39087,Lawrence,OH,219.1,190.4 - 220.8 (640)
39089,Licking,OH,174.6,169.5 - 190.3 (639)
39091,Logan,OH,201.5,190.4 - 220.8 (640)
39093,Lorain,OH,169.7,169.5 - 190.3 (639)
39095,Lucas,OH,220.3,190.4 - 220.8 (640)
39097,Madison,OH,177.9,169.5 - 190.3 (639)
39099,Mahoning,OH,220.9,220.9 - 568.7 (640)
39101,Marion,OH,215.5,190.4 - 220.8 (640)
39103,Medina,OH,167.9,147 - 169.4 (640)
39105,Meigs,OH,197.9,190.4 - 220.8 (640)
39107,Mercer,OH,228.5,220.9 - 568.7 (640)
39109,Miami,OH,188.6,169.5 - 190.3 (639)
39111,Monroe,OH,206.1,190.4 - 220.8 (640)
39113,Montgomery,OH,187.6,169.5 - 190.3 (639)
39115,Morgan,OH,177.9,169.5 - 190.3 (639)
39117,Morrow,OH,185.3,169.5 - 190.3 (639)
39119,Muskingum,OH,183.5,169.5 - 190.3 (639)
39121,Noble,OH,177.3,169.5 - 190.3 (639)
39123,Ottawa,OH,201.6,190.4 - 220.8 (640)
39125,Paulding,OH,166.7,147 - 169.4 (640)
39127,Perry,OH,211.4,190.4 - 220.8 (640)
39129,Pickaway,OH,195.9,190.4 - 220.8 (640)
39131,Pike,OH,213.5,190.4 - 220.8 (640)
39133,Portage,OH,216.2,190.4 - 220.8 (640)
39135,Preble,OH,180,169.5 - 190.3 (639)
39137,Putnam,OH,166.4,147 - 169.4 (640)
39139,Richland,OH,187.6,169.5 - 190.3 (639)
39141,Ross,OH,216.9,190.4 - 220.8 (640)
39143,Sandusky,OH,181.8,169.5 - 190.3 (639)
39145,Scioto,OH,276.6,220.9 - 568.7 (640)
39147,Seneca,OH,193.6,190.4 - 220.8 (640)
39149,Shelby,OH,187.9,169.5 - 190.3 (639)
39151,Stark,OH,166.4,147 - 169.4 (640)
39153,Summit,OH,180.2,169.5 - 190.3 (639)
39155,Trumbull,OH,215.1,190.4 - 220.8 (640)
39157,Tuscarawas,OH,194,190.4 - 220.8 (640)
39159,Union,OH,172.2,169.5 - 190.3 (639)
39161,Van Wert,OH,168,147 - 169.4 (640)
39163,Vinton,OH,240.2,220.9 - 568.7 (640)
39165,Warren,OH,152.7,147 - 169.4 (640)
39167,Washington,OH,181.9,169.5 - 190.3 (639)
39169,Wayne,OH,171,169.5 - 190.3 (639)
39171,Williams,OH,186.2,169.5 - 190.3 (639)
39173,Wood,OH,208.1,190.4 - 220.8 (640)
39175,Wyandot,OH,189.1,169.5 - 190.3 (639)
40001,Adair,OK,256.7,220.9 - 568.7 (640)
40003,Alfalfa,OK,209.3,190.4 - 220.8 (640)
40005,Atoka,OK,334.6,220.9 - 568.7 (640)
40007,Beaver,OK,165.8,147 - 169.4 (640)
40009,Beckham,OK,233.7,220.9 - 568.7 (640)
40011,Blaine,OK,216.2,190.4 - 220.8 (640)
40013,Bryan,OK,256.9,220.9 - 568.7 (640)
40015,Caddo,OK,225.2,220.9 - 568.7 (640)
40017,Canadian,OK,193.5,190.4 - 220.8 (640)
40019,Carter,OK,261.5,220.9 - 568.7 (640)
40021,Cherokee,OK,258,220.9 - 568.7 (640)
40023,Choctaw,OK,337.3,220.9 - 568.7 (640)
40025,Cimarron,OK,212.5,190.4 - 220.8 (640)
40027,Cleveland,OK,173.8,169.5 - 190.3 (639)
40029,Coal,OK,327.9,220.9 - 568.7 (640)
40031,Comanche,OK,225.7,220.9 - 568.7 (640)
40033,Cotton,OK,237.6,220.9 - 568.7 (640)
40035,Craig,OK,301.1,220.9 - 568.7 (640)
40037,Creek,OK,250.7,220.9 - 568.7 (640)
40039,Custer,OK,236.7,220.9 - 568.7 (640)
40041,Delaware,OK,234.2,220.9 - 568.7 (640)
40043,Dewey,OK,220.5,190.4 - 220.8 (640)
40045,Ellis,OK,200.8,190.4 - 220.8 (640)
40047,Garfield,OK,205.1,190.4 - 220.8 (640)
40049,Garvin,OK,247.9,220.9 - 568.7 (640)
40051,Grady,OK,222.5,220.9 - 568.7 (640)
40053,Grant,OK,200,190.4 - 220.8 (640)
40055,Greer,OK,243.8,220.9 - 568.7 (640)
40057,Harmon,OK,229.6,220.9 - 568.7 (640)
40059,Harper,OK,207.5,190.4 - 220.8 (640)
40061,Haskell,OK,287.4,220.9 - 568.7 (640)
40063,Hughes,OK,310.4,220.9 - 568.7 (640)
40065,Jackson,OK,226.5,220.9 - 568.7 (640)
40067,Jefferson,OK,263.1,220.9 - 568.7 (640)
40069,Johnston,OK,261.7,220.9 - 568.7 (640)
40071,Kay,OK,209.8,190.4 - 220.8 (640)
40073,Kingfisher,OK,207.7,190.4 - 220.8 (640)
40075,Kiowa,OK,229.6,220.9 - 568.7 (640)
40077,Latimer,OK,277.3,220.9 - 568.7 (640)
40079,Le Flore,OK,248.1,220.9 - 568.7 (640)
40081,Lincoln,OK,225.4,220.9 - 568.7 (640)
40083,Logan,OK,203,190.4 - 220.8 (640)
40085,Love,OK,217.9,190.4 - 220.8 (640)
40087,McClain,OK,228.7,220.9 - 568.7 (640)
40089,McCurtain,OK,265.5,220.9 - 568.7 (640)
40091,McIntosh,OK,268.8,220.9 - 568.7 (640)
40093,Major,OK,211.9,190.4 - 220.8 (640)
40095,Marshall,OK,225.5,220.9 - 568.7 (640)
40097,Mayes,OK,248,220.9 - 568.7 (640)
40099,Murray,OK,259.9,220.9 - 568.7 (640)
40101,Muskogee,OK,304.7,220.9 - 568.7 (640)
40103,Noble,OK,206.3,190.4 - 220.8 (640)
40105,Nowata,OK,239,220.9 - 568.7 (640)
40107,Okfuskee,OK,290,220.9 - 568.7 (640)
40109,Oklahoma,OK,216.4,190.4 - 220.8 (640)
40111,Okmulgee,OK,255.5,220.9 - 568.7 (640)
40113,Osage,OK,214.9,190.4 - 220.8 (640)
40115,Ottawa,OK,274.6,220.9 - 568.7 (640)
40117,Pawnee,OK,239,220.9 - 568.7 (640)
40119,Payne,OK,191.7,190.4 - 220.8 (640)
40121,Pittsburg,OK,305.9,220.9 - 568.7 (640)
40123,Pontotoc,OK,250,220.9 - 568.7 (640)
40125,Pottawatomie,OK,230.6,220.9 - 568.7 (640)
40127,Pushmataha,OK,310.1,220.9 - 568.7 (640)
40129,Roger Mills,OK,229.2,220.9 - 568.7 (640)
40131,Rogers,OK,233.5,220.9 - 568.7 (640)
40133,Seminole,OK,281.5,220.9 - 568.7 (640)
40135,Sequoyah,OK,289.2,220.9 - 568.7 (640)
40137,Stephens,OK,245.2,220.9 - 568.7 (640)
40139,Texas,OK,224.2,220.9 - 568.7 (640)
40141,Tillman,OK,207.4,190.4 - 220.8 (640)
40143,Tulsa,OK,221.1,220.9 - 568.7 (640)
40145,Wagoner,OK,216.6,190.4 - 220.8 (640)
40147,Washington,OK,218.4,190.4 - 220.8 (640)
40149,Washita,OK,240.1,220.9 - 568.7 (640)
40151,Woods,OK,211.8,190.4 - 220.8 (640)
40153,Woodward,OK,211,190.4 - 220.8 (640)
41001,Baker,OR,152.9,147 - 169.4 (640)
41003,Benton,OR,108.8,56.2 - 146.9 (641)
41005,Clackamas,OR,124.6,56.2 - 146.9 (641)
41007,Clatsop,OR,142.6,56.2 - 146.9 (641)
41009,Columbia,OR,145.9,56.2 - 146.9 (641)
41011,Coos,OR,154.6,147 - 169.4 (640)
41013,Crook,OR,142.4,56.2 - 146.9 (641)
41015,Curry,OR,169.3,147 - 169.4 (640)
41017,Deschutes,OR,132.7,56.2 - 146.9 (641)
41019,Douglas,OR,143.3,56.2 - 146.9 (641)
41021,Gilliam,OR,141.3,56.2 - 146.9 (641)
41023,Grant,OR,138.2,56.2 - 146.9 (641)
41025,Harney,OR,141.2,56.2 - 146.9 (641)
41027,Hood River,OR,137,56.2 - 146.9 (641)
41029,Jackson,OR,131.3,56.2 - 146.9 (641)
41031,Jefferson,OR,148.8,147 - 169.4 (640)
41033,Josephine,OR,142.9,56.2 - 146.9 (641)
41035,Klamath,OR,150,147 - 169.4 (640)
41037,Lake,OR,145.7,56.2 - 146.9 (641)
41039,Lane,OR,125.6,56.2 - 146.9 (641)
41041,Lincoln,OR,136.1,56.2 - 146.9 (641)
41043,Linn,OR,153,147 - 169.4 (640)
41045,Malheur,OR,173.9,169.5 - 190.3 (639)
41047,Marion,OR,137.2,56.2 - 146.9 (641)
41049,Morrow,OR,141.2,56.2 - 146.9 (641)
41051,Multnomah,OR,141.1,56.2 - 146.9 (641)
41053,Polk,OR,130.8,56.2 - 146.9 (641)
41055,Sherman,OR,143.8,56.2 - 146.9 (641)
41057,Tillamook,OR,133.2,56.2 - 146.9 (641)
41059,Umatilla,OR,140.9,56.2 - 146.9 (641)
41061,Union,OR,138.6,56.2 - 146.9 (641)
41063,Wallowa,OR,148.4,147 - 169.4 (640)
41065,Wasco,OR,136.1,56.2 - 146.9 (641)
41067,Washington,OR,113.9,56.2 - 146.9 (641)
41069,Wheeler,OR,151.5,147 - 169.4 (640)
41071,Yamhill,OR,136.7,56.2 - 146.9 (641)
42001,Adams,PA,167.6,147 - 169.4 (640)
42003,Allegheny,PA,186.7,169.5 - 190.3 (639)
42005,Armstrong,PA,182.7,169.5 - 190.3 (639)
42007,Beaver,PA,191.2,190.4 - 220.8 (640)
42009,Bedford,PA,186.3,169.5 - 190.3 (639)
42011,Berks,PA,167.2,147 - 169.4 (640)
42013,Blair,PA,199.9,190.4 - 220.8 (640)
42015,Bradford,PA,184.3,169.5 - 190.3 (639)
42017,Bucks,PA,141.4,56.2 - 146.9 (641)
42019,Butler,PA,181,169.5 - 190.3 (639)
42021,Cambria,PA,187.2,169.5 - 190.3 (639)
42023,Cameron,PA,179.3,169.5 - 190.3 (639)
42025,Carbon,PA,194.6,190.4 - 220.8 (640)
42027,Centre,PA,161.3,147 - 169.4 (640)
42029,Chester,PA,151.4,147 - 169.4 (640)
42031,Clarion,PA,179.6,169.5 - 190.3 (639)
42033,Clearfield,PA,180.4,169.5 - 190.3 (639)
42035,Clinton,PA,182.2,169.5 - 190.3 (639)
42037,Columbia,PA,220.9,220.9 - 568.7 (640)
42039,Crawford,PA,188.6,169.5 - 190.3 (639)
42041,Cumberland,PA,177.3,169.5 - 190.3 (639)
42043,Dauphin,PA,190,169.5 - 190.3 (639)
42045,Delaware,PA,172.9,169.5 - 190.3 (639)
42047,Elk,PA,180.9,169.5 - 190.3 (639)
42049,Erie,PA,183.1,169.5 - 190.3 (639)
42051,Fayette,PA,211,190.4 - 220.8 (640)
42053,Forest,PA,195.4,190.4 - 220.8 (640)
42055,Franklin,PA,160.6,147 - 169.4 (640)
42057,Fulton,PA,210.7,190.4 - 220.8 (640)
42059,Greene,PA,201.6,190.4 - 220.8 (640)
42061,Huntingdon,PA,169.4,147 - 169.4 (640)
42063,Indiana,PA,171.5,169.5 - 190.3 (639)
42065,Jefferson,PA,182.6,169.5 - 190.3 (639)
42067,Juniata,PA,159.4,147 - 169.4 (640)
42069,Lackawanna,PA,212.9,190.4 - 220.8 (640)
42071,Lancaster,PA,153.4,147 - 169.4 (640)
42073,Lawrence,PA,200.9,190.4 - 220.8 (640)
42075,Lebanon,PA,171.1,169.5 - 190.3 (639)
42077,Lehigh,PA,148.9,147 - 169.4 (640)
42079,Luzerne,PA,207.6,190.4 - 220.8 (640)
42081,Lycoming,PA,165,147 - 169.4 (640)
42083,McKean,PA,235.2,220.9 - 568.7 (640)
42085,Mercer,PA,191.1,190.4 - 220.8 (640)
42087,Mifflin,PA,158.7,147 - 169.4 (640)
42089,Monroe,PA,167.7,147 - 169.4 (640)
42091,Montgomery,PA,142.6,56.2 - 146.9 (641)
42093,Montour,PA,157.6,147 - 169.4 (640)
42095,Northampton,PA,153.8,147 - 169.4 (640)
42097,Northumberland,PA,209.8,190.4 - 220.8 (640)
42099,Perry,PA,194.4,190.4 - 220.8 (640)
42101,Philadelphia,PA,210.9,190.4 - 220.8 (640)
42103,Pike,PA,164.4,147 - 169.4 (640)
42105,Potter,PA,175.2,169.5 - 190.3 (639)
42107,Schuylkill,PA,246,220.9 - 568.7 (640)
42109,Snyder,PA,154.7,147 - 169.4 (640)
42111,Somerset,PA,199.2,190.4 - 220.8 (640)
42113,Sullivan,PA,188.8,169.5 - 190.3 (639)
42115,Susquehanna,PA,184.5,169.5 - 190.3 (639)
42117,Tioga,PA,190.7,190.4 - 220.8 (640)
42119,Union,PA,144,56.2 - 146.9 (641)
42121,Venango,PA,176.7,169.5 - 190.3 (639)
42123,Warren,PA,214.3,190.4 - 220.8 (640)
42125,Washington,PA,171.4,169.5 - 190.3 (639)
42127,Wayne,PA,211.1,190.4 - 220.8 (640)
42129,Westmoreland,PA,177.3,169.5 - 190.3 (639)
42131,Wyoming,PA,206.3,190.4 - 220.8 (640)
42133,York,PA,156.6,147 - 169.4 (640)
44001,Bristol,RI,156.9,147 - 169.4 (640)
44003,Kent,RI,162.5,147 - 169.4 (640)
44005,Newport,RI,155.4,147 - 169.4 (640)
44007,Providence,RI,167.2,147 - 169.4 (640)
44009,Washington,RI,153,147 - 169.4 (640)
45001,Abbeville,SC,166.4,147 - 169.4 (640)
45003,Aiken,SC,176.1,169.5 - 190.3 (639)
45005,Allendale,SC,224.8,220.9 - 568.7 (640)
45007,Anderson,SC,164.8,147 - 169.4 (640)
45009,Bamberg,SC,169.3,147 - 169.4 (640)
45011,Barnwell,SC,226.2,220.9 - 568.7 (640)
45013,Beaufort,SC,110.3,56.2 - 146.9 (641)
45015,Berkeley,SC,156.1,147 - 169.4 (640)
45017,Calhoun,SC,179.6,169.5 - 190.3 (639)
45019,Charleston,SC,144,56.2 - 146.9 (641)
45021,Cherokee,SC,255.3,220.9 - 568.7 (640)
45023,Chester,SC,226.9,220.9 - 568.7 (640)
45025,Chesterfield,SC,242.9,220.9 - 568.7 (640)
45027,Clarendon,SC,184.8,169.5 - 190.3 (639)
45029,Colleton,SC,215.4,190.4 - 220.8 (640)
45031,Darlington,SC,274.6,220.9 - 568.7 (640)
45033,Dillon,SC,273.2,220.9 - 568.7 (640)
45035,Dorchester,SC,161,147 - 169.4 (640)
45037,Edgefield,SC,174.4,169.5 - 190.3 (639)
45039,Fairfield,SC,229.3,220.9 - 568.7 (640)
45041,Florence,SC,234.8,220.9 - 568.7 (640)
45043,Georgetown,SC,179.9,169.5 - 190.3 (639)
45045,Greenville,SC,153.5,147 - 169.4 (640)
45047,Greenwood,SC,179.4,169.5 - 190.3 (639)
45049,Hampton,SC,180.7,169.5 - 190.3 (639)
45051,Horry,SC,199.2,190.4 - 220.8 (640)
45053,Jasper,SC,179.8,169.5 - 190.3 (639)
45055,Kershaw,SC,182.9,169.5 - 190.3 (639)
45057,Lancaster,SC,202.7,190.4 - 220.8 (640)
45059,Laurens,SC,175,169.5 - 190.3 (639)
45061,Lee,SC,215,190.4 - 220.8 (640)
45063,Lexington,SC,169.4,147 - 169.4 (640)
45065,McCormick,SC,162.7,147 - 169.4 (640)
