cnty_fips,County,State,Value,theme_range
28159,Winston,MS,222,220.9 - 568.7 (640)
28161,Yalobusha,MS,281.5,220.9 - 568.7 (640)
28163,Yazoo,MS,221.6,220.9 - 568.7 (640)
29001,Adair,MO,166,147 - 169.4 (640)
29003,Andrew,MO,184.2,169.5 - 190.3 (639)
29005,Atchison,MO,155.7,147 - 169.4 (640)
29007,Audrain,MO,202.2,190.4 - 220.8 (640)
29009,Barry,MO,257.9,220.9 - 568.7 (640)
29011,Barton,MO,227.5,220.9 - 568.7 (640)
29013,Bates,MO,214.2,190.4 - 220.8 (640)
29015,Benton,MO,214.5,190.4 - 220.8 (640)
29017,Bollinger,MO,225,220.9 - 568.7 (640)
29019,Boone,MO,149,147 - 169.4 (640)
29021,Buchanan,MO,181.9,169.5 - 190.3 (639)
29023,Butler,MO,265.5,220.9 - 568.7 (640)
29025,Caldwell,MO,210.1,190.4 - 220.8 (640)
29027,Callaway,MO,181.2,169.5 - 190.3 (639)
29029,Camden,MO,217,190.4 - 220.8 (640)
29031,Cape Girardeau,MO,177.1,169.5 - 190.3 (639)
29033,Carroll,MO,230.1,220.9 - 568.7 (640)
29035,Carter,MO,245.5,220.9 - 568.7 (640)
29037,Cass,MO,153.3,147 - 169.4 (640)
29039,Cedar,MO,224.5,220.9 - 568.7 (640)
29041,Chariton,MO,211,190.4 - 220.8 (640)
29043,Christian,MO,181.2,169.5 - 190.3 (639)
29045,Clark,MO,233.6,220.9 - 568.7 (640)
29047,Clay,MO,150.8,147 - 169.4 (640)
29049,Clinton,MO,191.1,190.4 - 220.8 (640)
29051,Cole,MO,180.7,169.5 - 190.3 (639)
29053,Cooper,MO,268.4,220.9 - 568.7 (640)
29055,Crawford,MO,282.3,220.9 - 568.7 (640)
29057,Dade,MO,222.5,220.9 - 568.7 (640)
29059,Dallas,MO,186,169.5 - 190.3 (639)
29061,Daviess,MO,194.6,190.4 - 220.8 (640)
29063,DeKalb,MO,187,169.5 - 190.3 (639)
29065,Dent,MO,218.2,190.4 - 220.8 (640)
29067,Douglas,MO,174.2,169.5 - 190.3 (639)
29069,Dunklin,MO,266.6,220.9 - 568.7 (640)
29071,Franklin,MO,190.7,190.4 - 220.8 (640)
29073,Gasconade,MO,175.1,169.5 - 190.3 (639)
29075,Gentry,MO,195.9,190.4 - 220.8 (640)
29077,Greene,MO,179.3,169.5 - 190.3 (639)
29079,Grundy,MO,204.8,190.4 - 220.8 (640)
29081,Harrison,MO,197,190.4 - 220.8 (640)
29083,Henry,MO,260.7,220.9 - 568.7 (640)
29085,Hickory,MO,194.7,190.4 - 220.8 (640)
29087,Holt,MO,165.6,147 - 169.4 (640)
29089,Howard,MO,217.1,190.4 - 220.8 (640)
29091,Howell,MO,202.6,190.4 - 220.8 (640)
29093,Iron,MO,308.2,220.9 - 568.7 (640)
29095,Jackson,MO,181.5,169.5 - 190.3 (639)
29097,Jasper,MO,247.6,220.9 - 568.7 (640)
29099,Jefferson,MO,207.6,190.4 - 220.8 (640)
29101,Johnson,MO,232.9,220.9 - 568.7 (640)
29103,Knox,MO,212.9,190.4 - 220.8 (640)
29105,Laclede,MO,220.3,190.4 - 220.8 (640)
29107,Lafayette,MO,227.4,220.9 - 568.7 (640)
29109,Lawrence,MO,223.2,220.9 - 568.7 (640)
29111,Lewis,MO,222.2,220.9 - 568.7 (640)
29113,Lincoln,MO,192.6,190.4 - 220.8 (640)
29115,Linn,MO,261.6,220.9 - 568.7 (640)
29117,Livingston,MO,193,190.4 - 220.8 (640)
29119,McDonald,MO,243.8,220.9 - 568.7 (640)
29121,Macon,MO,207.1,190.4 - 220.8 (640)
29123,Madison,MO,248.9,220.9 - 568.7 (640)
29125,Maries,MO,224,220.9 - 568.7 (640)
29127,Marion,MO,226.8,220.9 - 568.7 (640)
29129,Mercer,MO,197.4,190.4 - 220.8 (640)
29131,Miller,MO,221.7,220.9 - 568.7 (640)
29133,Mississippi,MO,284.4,220.9 - 568.7 (640)
29135,Moniteau,MO,209.5,190.4 - 220.8 (640)
29137,Monroe,MO,216.8,190.4 - 220.8 (640)
29139,Montgomery,MO,208.1,190.4 - 220.8 (640)
29141,Morgan,MO,230.7,220.9 - 568.7 (640)
29143,New Madrid,MO,254.5,220.9 - 568.7 (640)
29145,Newton,MO,227.2,220.9 - 568.7 (640)
29147,Nodaway,MO,183.4,169.5 - 190.3 (639)
29149,Oregon,MO,258.7,220.9 - 568.7 (640)
29151,Osage,MO,188.4,169.5 - 190.3 (639)
29153,Ozark,MO,214.2,190.4 - 220.8 (640)
29155,Pemiscot,MO,345.5,220.9 - 568.7 (640)
29157,Perry,MO,192.1,190.4 - 220.8 (640)
29159,Pettis,MO,223.2,220.9 - 568.7 (640)
29161,Phelps,MO,233.1,220.9 - 568.7 (640)
29163,Pike,MO,209.4,190.4 - 220.8 (640)
29165,Platte,MO,140.7,56.2 - 146.9 (641)
29167,Polk,MO,183.4,169.5 - 190.3 (639)
29169,Pulaski,MO,224.7,220.9 - 568.7 (640)
29171,Putnam,MO,171.9,169.5 - 190.3 (639)
29173,Ralls,MO,191,190.4 - 220.8 (640)
29175,Randolph,MO,212.7,190.4 - 220.8 (640)
29177,Ray,MO,212.2,190.4 - 220.8 (640)
29179,Reynolds,MO,238.8,220.9 - 568.7 (640)
29181,Ripley,MO,262.9,220.9 - 568.7 (640)
29183,St. Charles,MO,154.3,147 - 169.4 (640)
29185,St. Clair,MO,257.1,220.9 - 568.7 (640)
29186,Ste. Genevieve,MO,210.2,190.4 - 220.8 (640)
29187,St. Francois,MO,258.2,220.9 - 568.7 (640)
29189,St. Louis,MO,174.4,169.5 - 190.3 (639)
29195,Saline,MO,218.7,190.4 - 220.8 (640)
29197,Schuyler,MO,194.6,190.4 - 220.8 (640)
29199,Scotland,MO,177.6,169.5 - 190.3 (639)
29201,Scott,MO,204.6,190.4 - 220.8 (640)
29203,Shannon,MO,229.2,220.9 - 568.7 (640)
29205,Shelby,MO,226.3,220.9 - 568.7 (640)
29207,Stoddard,MO,232.9,220.9 - 568.7 (640)
29209,Stone,MO,230.9,220.9 - 568.7 (640)
29211,Sullivan,MO,226.9,220.9 - 568.7 (640)
29213,Taney,MO,247.8,220.9 - 568.7 (640)
29215,Texas,MO,219.5,190.4 - 220.8 (640)
29217,Vernon,MO,232.1,220.9 - 568.7 (640)
29219,Warren,MO,163.3,147 - 169.4 (640)
29221,Washington,MO,383,220.9 - 568.7 (640)
29223,Wayne,MO,228.5,220.9 - 568.7 (640)
29225,Webster,MO,186.5,169.5 - 190.3 (639)
29227,Worth,MO,206.7,190.4 - 220.8 (640)
29229,Wright,MO,250.1,220.9 - 568.7 (640)
29510,St. Louis City,MO,227.5,220.9 - 568.7 (640)
30001,Beaverhead,MT,153.8,147 - 169.4 (640)
30003,Big Horn,MT,169.9,169.5 - 190.3 (639)
30005,Blaine,MT,212.1,190.4 - 220.8 (640)
30007,Broadwater,MT,127.2,56.2 - 146.9 (641)
30009,Carbon,MT,150.5,147 - 169.4 (640)
30011,Carter,MT,170.9,169.5 - 190.3 (639)
30013,Cascade,MT,137.3,56.2 - 146.9 (641)
30015,Chouteau,MT,159.3,147 - 169.4 (640)
30017,Custer,MT,169.3,147 - 169.4 (640)
30019,Daniels,MT,163.2,147 - 169.4 (640)
30021,Dawson,MT,111.6,56.2 - 146.9 (641)
30023,Deer Lodge,MT,182.3,169.5 - 190.3 (639)
30025,Fallon,MT,156.6,147 - 169.4 (640)
30027,Fergus,MT,174.4,169.5 - 190.3 (639)
30029,Flathead,MT,139.5,56.2 - 146.9 (641)
30031,Gallatin,MT,125.1,56.2 - 146.9 (641)
30033,Garfield,MT,177.8,169.5 - 190.3 (639)
30035,Glacier,MT,146.6,56.2 - 146.9 (641)
30037,Golden Valley,MT,151.3,147 - 169.4 (640)
30039,Granite,MT,144.4,56.2 - 146.9 (641)
30041,Hill,MT,204.4,190.4 - 220.8 (640)
30043,Jefferson,MT,166.7,147 - 169.4 (640)
30045,Judith Basin,MT,145.3,56.2 - 146.9 (641)
30047,Lake,MT,154.3,147 - 169.4 (640)
30049,Lewis and Clark,MT,136.7,56.2 - 146.9 (641)
30051,Liberty,MT,169.2,147 - 169.4 (640)
30053,Lincoln,MT,179.6,169.5 - 190.3 (639)
30055,McCone,MT,161.4,147 - 169.4 (640)
30057,Madison,MT,122.1,56.2 - 146.9 (641)
30059,Meagher,MT,131,56.2 - 146.9 (641)
30061,Mineral,MT,150.6,147 - 169.4 (640)
30063,Missoula,MT,148.5,147 - 169.4 (640)
30065,Musselshell,MT,148,147 - 169.4 (640)
30067,Park,MT,126.6,56.2 - 146.9 (641)
30069,Petroleum,MT,167.8,147 - 169.4 (640)
30071,Phillips,MT,198.6,190.4 - 220.8 (640)
30073,Pondera,MT,142.6,56.2 - 146.9 (641)
30075,Powder River,MT,181.1,169.5 - 190.3 (639)
30077,Powell,MT,144.8,56.2 - 146.9 (641)
30079,Prairie,MT,139.6,56.2 - 146.9 (641)
30081,Ravalli,MT,140,56.2 - 146.9 (641)
30083,Richland,MT,169.8,169.5 - 190.3 (639)
30085,Roosevelt,MT,331.8,220.9 - 568.7 (640)
30087,Rosebud,MT,152.5,147 - 169.4 (640)
30089,Sanders,MT,185.4,169.5 - 190.3 (639)
30091,Sheridan,MT,195.6,190.4 - 220.8 (640)
30093,Silver Bow,MT,212.9,190.4 - 220.8 (640)
30095,Stillwater,MT,153,147 - 169.4 (640)
30097,Sweet Grass,MT,156.7,147 - 169.4 (640)
30099,Teton,MT,136.4,56.2 - 146.9 (641)
30101,Toole,MT,158.6,147 - 169.4 (640)
30103,Treasure,MT,152.1,147 - 169.4 (640)
30105,Valley,MT,214.8,190.4 - 220.8 (640)
30107,Wheatland,MT,157.9,147 - 169.4 (640)
30109,Wibaux,MT,143.4,56.2 - 146.9 (641)
30111,Yellowstone,MT,147.4,147 - 169.4 (640)
31001,Adams,NE,181.7,169.5 - 190.3 (639)
31003,Antelope,NE,172.4,169.5 - 190.3 (639)
31005,Arthur,NE,171.5,169.5 - 190.3 (639)
31007,Banner,NE,160.9,147 - 169.4 (640)
31009,Blaine,NE,150.7,147 - 169.4 (640)
31011,Boone,NE,150.1,147 - 169.4 (640)
31013,Box Butte,NE,155.7,147 - 169.4 (640)
31015,Boyd,NE,177.7,169.5 - 190.3 (639)
31017,Brown,NE,202,190.4 - 220.8 (640)
31019,Buffalo,NE,143.9,56.2 - 146.9 (641)
31021,Burt,NE,163.1,147 - 169.4 (640)
31023,Butler,NE,135.5,56.2 - 146.9 (641)
31025,Cass,NE,141.6,56.2 - 146.9 (641)
31027,Cedar,NE,164.8,147 - 169.4 (640)
31029,Chase,NE,142.5,56.2 - 146.9 (641)
31031,Cherry,NE,153.2,147 - 169.4 (640)
31033,Cheyenne,NE,150.6,147 - 169.4 (640)
31035,Clay,NE,166.3,147 - 169.4 (640)
31037,Colfax,NE,142.6,56.2 - 146.9 (641)
31039,Cuming,NE,156.6,147 - 169.4 (640)
31041,Custer,NE,139.1,56.2 - 146.9 (641)
31043,Dakota,NE,141.1,56.2 - 146.9 (641)
31045,Dawes,NE,152.2,147 - 169.4 (640)
31047,Dawson,NE,139.4,56.2 - 146.9 (641)
31049,Deuel,NE,155.6,147 - 169.4 (640)
31051,Dixon,NE,157.4,147 - 169.4 (640)
31053,Dodge,NE,150.3,147 - 169.4 (640)
31055,Douglas,NE,150.3,147 - 169.4 (640)
31057,Dundy,NE,144.6,56.2 - 146.9 (641)
31059,Fillmore,NE,159.1,147 - 169.4 (640)
31061,Franklin,NE,181.7,169.5 - 190.3 (639)
31063,Frontier,NE,136,56.2 - 146.9 (641)
31065,Furnas,NE,174.5,169.5 - 190.3 (639)
31067,Gage,NE,141,56.2 - 146.9 (641)
31069,Garden,NE,157,147 - 169.4 (640)
31071,Garfield,NE,158.4,147 - 169.4 (640)
31073,Gosper,NE,148,147 - 169.4 (640)
31075,Grant,NE,166.7,147 - 169.4 (640)
31077,Greeley,NE,139.2,56.2 - 146.9 (641)
31079,Hall,NE,142.5,56.2 - 146.9 (641)
31081,Hamilton,NE,141,56.2 - 146.9 (641)
31083,Harlan,NE,180.5,169.5 - 190.3 (639)
31085,Hayes,NE,132.9,56.2 - 146.9 (641)
31087,Hitchcock,NE,145.4,56.2 - 146.9 (641)
31089,Holt,NE,165.3,147 - 169.4 (640)
